0,"['“', 'absolutely', 'disgust', 'treatment', 'receive', 'cex', 'shop', 'cavan', 'ireland', 'bought', 'phone', 'disabled', 'shortly', 'purchase', 'brought', 'back', 'rudely', 'told', '’ t', 'anything', '’', 'bring', 'repair', 'shopdid', 'man', 'repair', 'shop', 'told', 'faulty', 'bring', 'back', 'cex', 'don ’', 'let', 'fob', 'go', 'back', 'cex', 'fobbed', 'another', 'person', 'spoke', 'like', 'two', 'year', 'old', 'never', 'look', 'phone', 'speech', 'last', 'lad', '’ s', 'like', 'train', 'tell', 'samething', 'absolutely', 'disgust', 'young', 'people', 'train', 'lie', 'heard', 'last', 'shop', 'need', 'highlight', 'allow', 'rip', 'people', 'like', 'say', 'shut', '”']",Posted 8 hours ago
1,"['“', '’ t', 'give', 'zero', 'review', 'bloody', 'well', 'would', 'bought', 'phone', 'local', 'cex', 'store', 'phone', 'hadnt', 'work', 'get', 'speaker', 'work', 'right', 'probably', 'fact', 'day', 'get', 'lad', 'serve', 'drop', 'counter', 'take', 'back', 'today', 'told', 'leave', 'min', 'check', 'go', 'back', 'told', '£', 'voucher', 'exchange', '£', 'cash', 'absolute', 'bloody', 'joke', 'paid', '£', 'phone', '’', '£', 'afford', 'buy', 'new', 'phone', 'way', 'xmas', 'stay', 'clear', 'shop', 'don ’', 'want', 'robbed', 'fobbed', '”']",Posted 16 hours ago
2,"['“', 'give', 'star', 'deserve', 'minus', 'never', 'life', 'ever', 'recieved', 'service', 'utter', 'twaddle', 'life', 'year', 'earth', 'thought', 'heard', 'purchase', 'store', 'cramlington', 'easy', 'get', 'select', 'game', 'put', 'box', 'go', 'get', 'charger', 'put', 'paid', 'happy', 'untill', 'get', 'home', 'charger', 'wrong', 'size', 'fit', 'thought', 'easy', 'mistake', 'll', 'go', 'back', 'tomorrow', 'swap', 'way', '£', 'spent', 'go', 'back', 'explain', 'happen', 'think', 'would', 'swap', 'charger', 'would', 'end', 'u', 'get', 'charger', 'u', 'u', 'buy', 'device', 'supply', 'charger', 'even', 'wire', 'policy', 'nintendo', 'policy', 'nintendo', 'apparently', 'supply', 'mean', 'make', 'device', 'u', 'bought', 'work', 'believe', 'previously', 'own', 'always', 'wire', 'supply', 'make', 'feel', 'ridiculous', 'next', 'thing', 'well', 'u', 'refund', 'u', 'leave', 'u', 'hr', 'run', 'diagnostic', 'check', 'left', 'store', 'bought', 'yesterday', 'st', 'nextday', 'get', 'lead', 'charge', 'take', 'day', 'refund', 'staff', 'member', 'give', 'u', 'charger', 'ask', 'box', 'lead', 'warranty', 'say', 'include', 'train', 'staff', 'feel', 'utterly', 'ridiculous', 'spoken', 'like', 'idiot', 'totally', 'disgust', 'staff', 'manner', 'customerservice', 'way', 'laugh', 'left', 'shop', 'never', 'ever', 'shop', 'take', 'money', 'laugh', 'u', 'make', 'stupid', 'rule', 'd', 'bought', 'replacement', 'disabled', 'man', 'christmas', 'present', 'hope', 'ashamed', 'laugh', '”']",Posted 22 hours ago
3,"['“', 'bought', 'secondhand', 'phone', 'give', 'old', 'phone', 'add', 'difference', 'stuff', 'bit', 'overwhelmed', 'take', 'age', 'verify', 'everything', 'log', 'account', 'phone', 'still', 'work', 'goodcondition', 'good', 'price', '”']",Posted 1 day ago
4,"['“', 'zoie', 'kieran', 'cex', 'milton', 'keynes', 'make', 'effect', 'serve', 'smile', 'patience', 'sell', 'xbox', 'series', 'x', 'go', 'beyond', 'attend', 'need', 'banktransfer', 'good', 'much', 'money', 'left', 'till', 'still', 'go', 'checked', 'till', 'collect', 'money', 'need', 'defiantly', 'recommend', 'store', 'great', 'customerservice', '”']",Posted 3 days ago
5,"['“', 'sell', 'two', 'iphones', '’', 'struggle', 'money', 'claimed', 'phone', 'damage', 'photo', 'phone', 'shipping', 'cex', 'cex', 'sent', 'phone', 'back', 'damage', 'make', 'complaint', 'file', 'claim', 'royalmail', 'told', 'wait', 'day', 'cex', 'paid', 'postage', 'legally', 'responsible', 'happen', 'good', 'wait', 'short', 'email', 'back', 'basically', 'say', 'outcome', 'royalmail', 'mean', 'get', 'paid', 'compensation', 'iphone', 'already', 'ship', 'back', 'instead', 'give', 'compensation', 'told', 'buy', 'damage', 'phone', 'pocket', 'compensation', '£', 'give', '£', 'pocket', 'compensation', 'try', 'give', 'less', 'phone', 'fix', 'sell', 'dishonest', 'try', 'scam', 'disabled', 'people', 'like', '”']",Posted 6 days ago
6,"['“', 'star', 'purely', 'amount', 'dirt', 'yellow', 'stain', 'every', 'game', 'bought', 'cover', 'sticker', 'well', 'cant', 'clean', 'game', '”']",Posted 1 week ago
7,"['“', 'really', 'bad', 'place', 'shop', 'phone', 'bought', 'become', 'faulty', 'day', 'claimed', 'fault', 'cause', 'extremely', 'rude', 'check', 'phone', 'offer', 'guarantee', 'find', 'every', 'excuse', 'honor', 'guarantee', 'try', 'even', 'take', 'customerservice', 'almost', 'non', 'cant', 'phone', 'email', 'fill', 'online', 'form', 'help', 'person', 'reply', 'take', 'immediately', 'side', 'shop', 'without', 'provide', 'kind', 'proof', 'claim', 'make', 'cex', 'shop', 'manager', 'stay', 'away', 'deserve', 'even', 'one', 'star', 'could', 'give', 'zero', 'star', 'would', 'unfortunately', 'one', 'star', 'low', 'grade', '”']",Posted 1 week ago
8,"['“', 'take', 'laptop', 'last', 'wednesday', 'receive', 'cash', 'go', 'back', 'shop', 'could', 'contact', 'phone', 'uploaded', 'bank', 'detail', 'say', 'do', 'monday', 'afternoon', 'still', 'receive', 'payment', 'left', 'email', 'ask', 'call', 'one', 'call', 'still', 'appal', 'service', '”']",Posted 2 weeks ago
9,"['“', 'sell', 'mobile', 'cex', 'fair', 'price', 'offer', 'expect', 'friendly', 'staff', 'use', 'buying', 'sell', 'future', 'would', 'highly', 'recommend', '”']",Posted 2 weeks ago
10,"['“', 'bought', 'oculus', 'rift', 'year', 'ago', 'take', 'back', 'warranty', 'technical', 'fault', 'head', 'set', 'told', 'void', 'crack', 'hand', 'control', 'staff', 'particular', 'sam', 'store', 'manager', 'apparently', 'guildford', 'branch', 'actually', 'laugh', 'face', 'slam', 'laptop', 'shut', 'say', 'refuse', 'service', 'disgust', 'left', 'heart', 'broken', 'old', 'boy', 'never', 'enter', 'cex', 'store', 'ever', '”']",Posted 2 weeks ago
11,"['“', 'product', 'bought', '£', 'graphicscard', 'arrive', 'damage', 'broken', 'contact', 'immediately', 'upon', 'delivery', 'show', 'image', 'come', 'back', '“', 'sorry', 'didn ’', 'leave', 'u', 'like', 'help', '”', 'unbelievably', 'poor', 'steer', 'clear', '”']",Posted 2 weeks ago
12,"['“', 'never', 'recieved', 'order', 'contact', 'deliver', 'post', 'office', 'mile', 'told', 'collect', 'tough', 'pay', 'delivery', 'dont', 'use', '”']",Posted 2 weeks ago
13,"['“', 'bad', 'customerservice', 'sell', 'faulty', 'good', 'state', 'warranty', 'cover', 'customer', 'damage', 'fact', 'good', 'sell', 'already', 'faulty', 'bought', 'ear', 'pod', 'september', '£', 'take', 'back', 'week', 'later', 'told', 'left', 'ear', 'bud', 'work', 'diagnostic', 'last', 'minute', 'told', 'work', 'fine', 'continued', 'problem', 'take', 'back', 'twice', 'within', 'month', 'purchase', 'tell', 'pin', 'damage', 'warranty', 'cover', 'customer', 'damage', 'told', 'hardly', 'use', 'bud', 'interested', 'never', 'buy', 'anything', 'crook', 'spoke', 'someone', 'work', 'say', 'buy', 'item', 'people', 'put', 'display', 'without', 'check', 'properly', '”']",Posted 3 weeks ago
14,"['“', 'want', 'money', 'nothing', 'else', '”']",Posted 3 weeks ago
15,"['“', 'call', 'warranty', 'void', 'screw', 'miss', 'checked', 'securely', 'post', '’ t', 'use', 'company', '”']",Posted 4 weeks ago
16,"['“', 'greedy', 'dvd', 'sell', '£', '”']",Posted 4 weeks ago
17,"['“', 'dvd', 'price', 'give', 'u', 'penny', '”']",Posted 1 month ago
18,"['“', 'service', 'go', 'cex', 'shop', 'samsung', '”']",Posted 1 month ago
19,"['“', 'sell', 'good', 'instore', 'credit', 'voucher', 'voucher', 'dosent', 'work', 'online', 'customer', 'service', 'useless', 've', 'contact', 'week', 'resolve', 'minute', 'phone', 'call', 'ridiculousness', '”']",Posted 1 month ago
20,"['“', 'worker', 'useless', 'get', 'clue', 'con', 'get', 'silly', 'girl', 'take', 'wii', 'console', 'say', 'could', 'take', 'controller', 'give', 'receipt', 'money', 'go', 'back', 'told', 'could', 'take', 'controller', 'maybe', 'worker', 'know', 'talk', 'absolutely', 'shock', 'workforce', '”']",Posted 1 month ago
21,"['“', 'deliver', 'item', 'still', 'wait', 'week', 'later', 'send', 'nov', 'cex', 'write', 'hi', 'simon', 'thank', 'patience', 'checked', 'store', 'seem', 'due', 'mixup', 'amd', 'radeon', 'rx', 'sent', 'incorrect', 'address', 'customer', 'order', 'sent', 'address', 'apologise', 'inconvenience', 'cause', 'feedback', 'give', 'store', 'fulfil', 'order', 'go', 'forward', 'instance', 'happen', 'please', 'confirm', 'receive', 'ipad', 'pro', 'case', 'via', 'post', '”']",Posted 1 month ago
22,"['“', 'hi', 'con', 'guy', 'cex', 'westmoreland', 'street', 'dublin', 'buying', 'computer', '”']",Posted 1 month ago
23,"['“', 'would', 'never', 'buy', 'cex', 'bought', 'samsung', 'tablet', 'may', 'warrenty', 'buying', 'screen', 'get', 'line', 'take', 'back', 'portsmouth', 'branch', 'bought', 'told', 'drop', 'drop', 'look', 'tube', 'common', 'problem', 'wire', 'come', 'loose', 'told', 'pay', '£', 'repair', 'call', 'liar', 'pay', 'repair', 'totally', 'disguise', 'customerservice', 'warrenty', 'worth', 'paper', 'print', '”']",Posted 1 month ago
24,"['“', 'brought', 'mac', 'book', 'air', 'cex', 'take', 'month', 'save', 'secondhand', 'laptop', 'laptop', 'less', 'month', 'charge', 'fault', 'take', 'back', 'say', 'damage', 'disappointedi', 'use', 'laptop', 'time', 'sapce', 'month', 'always', 'kept', 'save', 'lock', 'away', 'one', 'ace', 'brought', 'laptop', 'damage', 'stupid', 'take', 'picture', 'arrival', 'try', 'best', 'resolve', 'cant', 'afford', 'loose', '£', 'left', 'heartbroken', 'cant', 'believe', 'bad', 'thing', 'always', 'go', 'cex', 'kid', 'game', 'browse', 'always', 'say', 'hello', 'staff', '”']",Posted 1 month ago
25,"['“', 'donot', 'buy', 'pokemon', 'gameboy', 'game', 'company', 'two', 've', 'fake', 'three', 'battery', 'store', 'bought', 'would', 'even', 'replace', 'deaddry', 'battery', 'happy', 'enough', 'sell', 'cant', 'save', 'game', 'actually', 'test', 'avoid', 'cost', '”']",Posted 1 month ago
26,"['“', 'take', 'fitbit', 'versa', 'sell', 'them', 'really', 'great', 'condition', 'offer', '£', 'fair', 'enough', 'left', 'test', 'come', 'back', 'anhour', 'told', 'report', 'lose', 'steal', 'u', 'receipt', 'amazon', 'bought', 'new', 'december', 'hell', 'resent', 'label', 'thief', 'especially', 'cex', 'clearly', 'buy', 'stuff', 'dodgy', 'people', 'complain', 'head', 'office', 'sell', 'elsewhere', 'line', 'waste', 'time', 'deal', '”']",Posted 1 month ago
27,"['“', 'pray', 'desperate', 'sell', 'xbox', 'series', 'x', 'quid', 'morethan', 'original', 'profiteer', 'illegal', 'terrible', 'company', 'equally', 'terrible', 'moral', 'tradingstandards', 'touch', 'barge', 'pole', 'also', 'know', 'fence', 'steal', 'good', 'shoplifter', 'steal', 'takenand', 'sell', 'avoid', 'like', 'plague', 'zero', 'star', '”']",Posted 1 month ago
28,"['“', 'knowingly', 'sent', 'charger', 'fit', 'watch', 'refuse', 'partial', 'refund', 'wrong', 'charger', 'kept', 'watch', 'charger', 'unimpressed', '”']",Posted 2 months ago
29,"['“', 'incompetent', 'time', 've', 'order', 'dvd', 'online', 'come', 'back', 'say', 'stock', 'dayslater', 'money', 'refund', 'scam', '”']",Posted 2 months ago
